Feature ID	Taxon	Confidence
ca2c310e4e8869c7790f092e54170db8	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus	0.805671480319033
687bc5ae3e6024fe982c3c8faae3acf3	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus	0.99905233088494
1b2b04a23fa9e4a14c91b1a68c1c0a46	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Nitrosopumilaceae	0.999375900129889
46b4264b801ff99d959fd67b4df7d89c	d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__Lokiarchaeia; f__Lokiarchaeia; g__Lokiarchaeia; s__uncultured_archaeon	0.996633790189728
9f3463bd1686679097468f245d850042	Unassigned	0.486712103420627
669e1104aece9bac99db592df4a90c28	d__Bacteria	0.756852719957723
6ee558b28832a5ddc902e8f8fddfeed6	d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__uncultured_organism	0.795904803519619
a40620e647c51a09e87556ef38e246a9	d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__uncultured_organism	0.909728320823313
52572ef651782d38401fed5d227f75c4	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria	0.987417731288484
c665c41acf254380c8d157d04ef79e06	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Schizymenia_dubyi	0.969647587867353
c3416daed2fc353d71a19bdb98573160	d__Bacteria	0.842716037543714
7625c17ce70e4a49ce0562db7baa60c2	d__Bacteria	0.921993128653405
cfcc44da325dfc62f6b9d1a699a19039	d__Bacteria	0.974987987217091
c074ba70cf770ecda6a16213e478032e	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Berkeleya_fennica	0.975461288267788
c580b41ca2978680c520ff726a7aa6fd	d__Bacteria; p__Proteobacteria	0.787112603624987
2ed4547318ddc22a80cedf46e57c23f1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Berkeleya_fennica	0.991516035724122
a621d7734ca47ca0e921861a4dda399b	d__Bacteria	0.963749367608586
23c0905c23d3cf79096f2a520e2ad43e	Unassigned	0.789297857271737
96dda488236a82756f37cf800f9d90d6	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria	0.863877574568141
b1679b257a825f2bf7c58ec4e4744ef8	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast	1
